county_id,name,lat,lon,w_ell,p_xf,pc,pd,AM_xn,AM_xf,AM_c,AM_d,A_xf_home,A_c_home,A_d_home,N,D_M_m,D_xf_m,D_c_m,D_d_m,D_M_f,D_xf_f,D_c_f,D_d_f,V_star,P_m,P_f,xi,LM_xf_total,LM_c_total,LM_d_total,LM_xn_total
1,Mombasa,-4.05,39.67,0.120772,0.056117,0.068686,0.031039,0.120772,2.1521,1.7583,3.891,1.0,1.0,1.0,364069701.81,1.0,1.0,1.0,1.5676,1.3516,0.2034,0.7206,0.2412,3.504301,0.5981,0.4201,-0.030558,227493268.2,494796.72,2824525.12,184995902.68
2,Kwale,-4.18,39.45,0.193451,0.056117,0.068686,0.011066,0.193451,3.4473,2.8164,17.4814,1.0,1.0,1.0,187246876.3,1.0,1.0,1.0,1.0117,1.4665,0.2531,1.8429,0.3353,3.63922,0.6459,0.5176,-0.165477,134148890.94,443069.67,5660558.44,97930119.93
3,Kilifi,-3.51,39.85,0.066941,0.056117,0.068686,0.032151,0.066941,1.1929,0.9746,2.0821,1.0,1.0,1.0,365429334.8,1.0,1.0,1.0,2.1741,1.1991,0.3191,0.6192,0.7262,3.434866,0.561,0.356,0.038876,215018300.42,320137.48,1876826.83,136908007.47
4,Tana River,-1.65,39.65,0.030094,0.056117,0.068686,0.034367,0.030094,0.5363,0.4381,0.8757,1.0,1.0,1.0,58906437.28,1.0,1.0,1.0,1.9338,1.3335,0.4002,0.5855,0.4431,3.403391,0.5382,0.3259,0.070352,43561642.11,48980.52,270174.48,-889977.54
5,Lamu,-2.27,40.92,0.183516,0.056117,0.068686,0.080711,0.183516,3.2703,2.6718,2.2737,1.0,1.0,1.0,37139279.15,1.0,1.0,1.0,0.9987,1.3262,0.2284,1.2833,0.1321,3.596643,0.6348,0.4913,-0.1229,26176652.1,80612.84,126271.65,20215594.11
6,Taita Taveta,-3.4,38.55,0.080763,0.056117,0.068686,0.026117,0.080763,1.4392,1.1758,3.0923,1.0,1.0,1.0,81987292.62,1.0,1.0,1.0,2.1439,1.2948,0.2552,0.6389,0.5065,3.451556,0.5708,0.3718,0.022187,48267140.27,79837.69,603933.43,35120858.5
7,Garissa,-0.45,39.65,0.082048,0.056117,0.068686,0.03487,0.082048,1.4621,1.1945,2.3529,1.0,1.0,1.0,135991948.46,1.0,1.0,1.0,1.8762,1.2063,0.2469,0.4911,0.4179,3.451682,0.5713,0.3724,0.022061,80152328.9,133614.24,690332.08,59080530.25
8,Wajir,1.75,40.05,0.107067,0.056117,0.068686,0.016754,0.107067,1.9079,1.5588,6.3906,1.0,1.0,1.0,115220594.88,1.0,1.0,1.0,1.9426,1.4497,0.1764,0.5231,0.8011,3.490219,0.5902,0.4064,-0.016476,70174773.79,140391.07,1683537.55,55740748.08
9,Mandera,3.92,41.85,0.193693,0.056117,0.068686,0.03487,0.193693,3.4516,2.82,5.5547,1.0,1.0,1.0,98781270.91,1.0,1.0,1.0,1.7987,1.2068,0.2694,0.9577,0.6336,3.618575,0.6416,0.5062,-0.144832,70873740.76,230498.14,1033250.66,53254662.83
10,Marsabit,2.33,37.99,0.130354,0.056117,0.068686,0.034543,0.130354,2.3229,1.8978,3.7736,1.0,1.0,1.0,76957797.03,1.0,1.0,1.0,1.6298,1.343,0.2694,0.7657,0.252,3.517784,0.6042,0.4316,-0.044041,48987378.89,113018.79,557408.08,39874461.45
11,Isiolo,0.35,37.58,0.054517,0.056117,0.068686,0.041917,0.054517,0.9715,0.7937,1.3006,1.0,1.0,1.0,43797392.69,1.0,1.0,1.0,1.2724,1.1542,0.1484,0.8623,0.1336,3.421698,0.5525,0.3434,0.052045,26357186.43,35619.08,146051.22,13181670.77
12,Meru,0.05,37.65,0.062847,0.056117,0.068686,0.013798,0.062847,1.1199,0.915,4.5548,1.0,1.0,1.0,364474728.81,1.0,1.0,1.0,1.3722,1.145,0.3209,0.642,0.2548,3.436318,0.5592,0.3543,0.037424,215138927.49,312424.34,5367574.71,125744862.64
13,Tharaka-Nithi,-0.3,37.8,0.058719,0.056117,0.068686,0.109904,0.058719,1.0464,0.8549,0.5343,1.0,1.0,1.0,90274673.27,1.0,1.0,1.0,1.7527,1.1747,0.2525,1.0803,0.4144,3.424365,0.555,0.3467,0.049378,53747742.52,74921.01,75719.62,29983390.23
14,Embu,-0.53,37.45,0.094122,0.056117,0.068686,0.015063,0.094122,1.6773,1.3703,6.2487,1.0,1.0,1.0,159963643.12,1.0,1.0,1.0,1.8792,1.2395,0.3399,0.5316,0.5068,3.47348,0.5813,0.3907,0.000263,95451084.59,174853.14,2448472.02,73307690.86
15,Kitui,-1.37,38.01,0.038198,0.056117,0.068686,0.021324,0.038198,0.6807,0.5561,1.7913,1.0,1.0,1.0,215156218.88,1.0,1.0,1.0,1.204,1.2978,0.2425,1.1998,0.2534,3.410608,0.5428,0.3312,0.063135,142853335.11,170748.31,1810447.52,27316451.21
16,Machakos,-1.52,37.27,0.181257,0.056117,0.068686,0.022684,0.181257,3.23,2.6389,7.9907,1.0,1.0,1.0,353560517.58,1.0,1.0,1.0,1.9613,1.2339,0.284,0.5904,0.4778,3.603314,0.6361,0.4957,-0.129571,248033555.28,762292.36,5519528.45,188691028.27
17,Makueni,-1.8,37.62,0.071146,0.056117,0.16643,0.017649,0.071146,1.2678,0.4275,4.0313,1.0,1.0,1.0,223861055.78,1.0,1.0,1.0,1.5998,1.0906,0.3717,0.9561,0.5001,3.44275,0.5645,0.3621,0.030993,131394448.92,54507.41,2546514.61,87152011.15
18,Nyandarua,-0.18,36.5,0.079215,0.056117,0.068686,0.017397,0.079215,1.4116,1.1533,4.5534,1.0,1.0,1.0,120351018.51,1.0,1.0,1.0,1.6174,1.3729,0.286,0.5792,0.2811,3.452738,0.5704,0.3716,0.021005,70750949.74,116095.69,1449986.45,50456392.85
19,Nyeri,-0.42,36.95,0.086478,0.056117,0.068686,0.036733,0.086478,1.541,1.259,2.3543,1.0,1.0,1.0,129001209.16,1.0,1.0,1.0,1.7058,1.1977,0.223,0.6238,0.3146,3.45687,0.5744,0.3774,0.016873,76338314.14,131398.14,630082.63,57761067.58
20,Kirinyaga,-0.66,37.3,0.083462,0.056117,0.068686,0.023588,0.083462,1.4873,1.2151,3.5384,1.0,1.0,1.0,125779077.36,1.0,1.0,1.0,1.9797,1.1836,0.293,0.5054,0.3866,3.455486,0.5728,0.3753,0.018257,74193677.26,125275.95,1072516.17,54825696.53
21,Murang'a,-0.78,37.05,0.064164,0.056117,0.068686,0.024164,0.064164,1.1434,0.9342,2.6554,1.0,1.0,1.0,237064545.05,1.0,1.0,1.0,1.5076,1.221,0.2278,0.5498,0.1709,3.43327,0.5593,0.3537,0.040472,139814575.15,204095.18,1756471.31,84973690.48
22,Kiambu,-1.18,36.83,0.054667,0.056117,0.068686,0.02772,0.054667,0.9742,0.7959,1.9721,1.0,1.0,1.0,623287259.62,1.0,1.0,1.0,1.146,1.3832,0.2528,0.8611,0.2057,3.423177,0.5528,0.3441,0.050566,374818268.01,507912.8,3694646.71,186883447.41
23,Turkana,3.12,35.6,0.0867,0.056117,0.068686,0.027951,0.0867,1.545,1.2623,3.1019,1.0,1.0,1.0,111543978.63,1.0,1.0,1.0,1.7277,1.1188,0.4743,0.9223,0.795,3.458449,0.5749,0.3785,0.015294,66009902.33,113977.65,782674.66,49811318.01
24,West Pokot,1.4,35.1,0.061735,0.056117,0.068686,0.019754,0.061735,1.1001,0.8988,3.1253,1.0,1.0,1.0,113015747.89,1.0,1.0,1.0,1.8874,1.5242,0.5369,0.9231,0.7411,3.432002,0.5579,0.3518,0.041741,66855912.33,95916.68,1073701.36,38775488.26
25,Samburu,1.1,36.7,0.086149,0.056117,0.068686,0.03487,0.086149,1.5352,1.2542,2.4705,1.0,1.0,1.0,50385116.51,1.0,1.0,1.0,1.9442,1.4423,0.2696,0.4462,0.2945,3.456676,0.5742,0.3772,0.017067,29805133.58,51193.26,263299.31,22499069.08
26,Trans Nzoia,1.02,35.0,0.261079,0.056117,0.068686,0.03487,0.261079,4.6524,3.801,7.4871,1.0,1.0,1.0,252803789.98,1.0,1.0,1.0,2.1925,1.2815,0.2032,0.6016,0.4025,3.731054,0.6738,0.5727,-0.257311,201546021.97,874972.1,3590727.3,133603653.17
27,Uasin Gishu,0.55,35.3,0.114612,0.056117,0.068686,0.02407,0.114612,2.0424,1.6686,4.7616,1.0,1.0,1.0,293642105.36,1.0,1.0,1.0,1.3916,1.3977,0.2799,0.9089,0.2423,3.49731,0.5945,0.4137,-0.023567,181345633.03,379894.67,2978261.28,146401512.54
28,Elgeyo-Marakwet,0.85,35.5,0.111634,0.056117,0.068686,0.03487,0.111634,1.9893,1.6253,3.2014,1.0,1.0,1.0,96119974.33,1.0,1.0,1.0,1.0409,1.4618,0.6398,1.9853,0.3479,3.490473,0.5918,0.4082,-0.01673,59058028.26,120983.41,603804.26,47839825.58
29,Nandi,0.2,35.15,0.148668,0.056117,0.068686,0.018309,0.148668,2.6493,2.1644,8.1197,1.0,1.0,1.0,206013591.15,1.0,1.0,1.0,1.3665,1.2956,0.2004,0.6687,0.2008,3.552866,0.6175,0.4587,-0.079123,135847370.43,351507.7,3408934.21,107726915.24
30,Baringo,0.5,36.05,0.092743,0.056117,0.068686,0.072071,0.092743,1.6527,1.3502,1.2868,1.0,1.0,1.0,129371888.96,1.0,1.0,1.0,0.8096,1.7074,0.2812,2.6996,0.1695,3.462897,0.5783,0.3836,0.010846,77147334.95,138564.43,258953.26,60325294.14
31,Laikipia,0.4,36.8,0.064066,0.056117,0.068686,0.03487,0.064066,1.1417,0.9327,1.8373,1.0,1.0,1.0,123955371.0,1.0,1.0,1.0,1.7286,1.2446,0.3093,0.4805,0.2839,3.431559,0.5589,0.3528,0.042184,73135673.05,106477.68,560397.16,44672072.27
32,Nakuru,-0.3,36.1,0.072024,0.056117,0.068686,0.038357,0.072024,1.2835,1.0486,1.8777,1.0,1.0,1.0,507804287.69,1.0,1.0,1.0,2.2429,1.1809,0.2142,0.4967,0.4026,3.439759,0.5643,0.361,0.033984,298217754.15,461164.67,2113468.57,202421060.13
33,Narok,-1.1,36.0,0.09577,0.056117,0.068686,0.02832,0.09577,1.7066,1.3943,3.3818,1.0,1.0,1.0,233725907.93,1.0,1.0,1.0,1.7841,1.5792,0.2395,0.5004,0.2156,3.470021,0.5812,0.3894,0.003721,139894591.84,257649.6,1714918.42,109525702.35
34,Kajiado,-1.85,36.78,0.059142,0.056117,0.068686,0.033158,0.059142,1.0539,0.861,1.7836,1.0,1.0,1.0,240588125.28,1.0,1.0,1.0,2.4529,1.2967,0.415,0.5415,0.5747,3.426777,0.5557,0.3481,0.046966,143058252.76,200549.28,1136649.52,79748400.41
35,Kericho,-0.37,35.28,0.103064,0.056117,0.018859,0.019713,0.103064,1.8366,5.465,5.2283,1.0,1.0,1.0,196566872.95,1.0,1.0,1.0,2.0024,1.3656,0.3753,0.7961,0.8294,3.486509,0.588,0.4029,-0.012766,118884306.1,1389386.53,2351622.75,93195096.32
36,Bomet,-0.78,35.35,0.080183,0.056117,0.068686,0.021348,0.080183,1.4289,1.1674,3.7559,1.0,1.0,1.0,217605552.35,1.0,1.0,1.0,1.2414,1.3974,0.3171,1.381,0.2327,3.452191,0.5707,0.3719,0.021552,128032238.1,211193.43,2059618.98,92412678.57
37,Kakamega,0.28,34.75,0.069036,0.056117,0.351089,0.011447,0.069036,1.2302,0.1966,6.0308,1.0,1.0,1.0,369179562.36,1.0,1.0,1.0,2.127,1.6076,0.4401,0.7539,0.6384,3.445045,0.5639,0.3618,0.028697,216665489.38,29098.31,6810558.5,138105544.96
38,Vihiga,0.07,34.72,0.056673,0.056117,0.068686,0.056104,0.056673,1.0099,0.8251,1.0101,1.0,1.0,1.0,124587144.72,1.0,1.0,1.0,1.3796,1.0904,0.2496,1.3166,0.2842,3.423126,0.5538,0.3451,0.050617,74525418.78,102340.01,276408.45,39537031.56
39,Bungoma,0.57,34.55,0.082828,0.056117,0.068686,0.03487,0.082828,1.476,1.2059,2.3753,1.0,1.0,1.0,405422691.64,1.0,1.0,1.0,2.0256,1.1452,0.2505,0.6401,0.3778,3.452621,0.5719,0.3733,0.021121,239099062.54,400865.18,2069343.74,177109791.18
40,Busia,0.45,34.1,0.066483,0.056117,0.068686,0.024432,0.066483,1.1847,0.9679,2.7212,1.0,1.0,1.0,202465755.36,1.0,1.0,1.0,1.7483,1.6248,0.2746,0.6421,0.321,3.435667,0.5609,0.3561,0.038076,119144293.53,177039.7,1495897.39,75005291.53
41,Siaya,0.05,34.3,0.036069,0.056117,0.068686,0.021864,0.036069,0.6428,0.5251,1.6497,1.0,1.0,1.0,191045810.74,1.0,1.0,1.0,2.0348,1.5091,0.3033,0.5268,0.2822,3.40895,0.5416,0.3298,0.064793,129791794.67,152666.65,1570216.44,18087156.82
42,Kisumu,-0.1,34.75,0.05299,0.056117,0.068686,0.03487,0.05299,0.9443,0.7715,1.5196,1.0,1.0,1.0,271421962.11,1.0,1.0,1.0,0.7324,1.2022,0.1974,3.014,0.1024,3.4208,0.5516,0.3423,0.052943,164157058.12,219355.67,1166099.27,78299348.55
43,Homa Bay,-0.52,34.45,0.082377,0.056117,0.068686,0.00266,0.082377,1.468,1.1993,30.9635,1.0,1.0,1.0,239768887.18,1.0,1.0,1.0,0.8198,1.3389,0.3483,1.724,0.1784,3.501467,0.5785,0.3895,-0.027724,140404904.25,245861.64,13501481.57,94717049.83
44,Migori,-1.07,34.47,0.072451,0.056117,0.068686,0.03487,0.072451,1.2911,1.0548,2.0777,1.0,1.0,1.0,221864275.06,1.0,1.0,1.0,1.7183,1.2361,0.2906,0.9201,0.3095,3.440563,0.5647,0.3617,0.03318,130282269.64,202199.88,1055370.21,88723266.05
45,Kisii,-0.68,34.78,0.093974,0.056117,0.068686,0.03487,0.093974,1.6746,1.3682,2.6949,1.0,1.0,1.0,257616568.74,1.0,1.0,1.0,2.4368,1.2453,0.3708,0.5116,0.63,3.466574,0.5797,0.3865,0.007169,153830375.0,279405.8,1424298.81,120085277.83
46,Nyamira,-0.57,34.93,0.046979,0.056117,0.068686,0.08406,0.046979,0.8372,0.684,0.5589,1.0,1.0,1.0,135759066.22,1.0,1.0,1.0,1.2927,1.3123,0.3784,2.0537,0.3736,3.414101,0.5475,0.3366,0.059642,84379380.58,107438.88,161085.14,32347286.94
47,Nairobi,-1.28,36.82,0.119473,0.056117,0.068686,0.063222,0.119473,2.129,1.7394,1.8897,1.0,1.0,1.0,1033752530.88,1.0,1.0,1.0,1.4278,1.3909,0.3596,0.772,0.3806,3.499248,0.5964,0.4162,-0.025505,644590203.2,1385536.99,3092683.76,527924164.91
